fit,j,l1,l2,l3,l4,M30/MeV,rho30re/Mpi,rho30im/Mpi,sigma30re/Mpi,sigma30im/Mpi,M20/MeV,rho21re/Mpi,rho21im/Mpi,sigma21re/Mpi,sigma21im/Mpi,Mph/MeV,rhophre/Mpi,rhophim/Mpi,sigmaphre/Mpi,sigmaphim/Mpi
23,0,-0.004624067607973106,0.0042088547103376105,0.008510524049717373,0.0038271006161030956,304.89353,2.5964670340794216,-0.08133535484610366,1.9467339694404446,-0.5327659060084177,207.342771,3.6072238000514827,-0.26129236832176755,2.33319475158577,-1.0592840543978455,139.57,5.216040792101144,-0.5184296896820584,3.090697656823859,-1.8078201573936146
23,1,-0.004611779593931519,0.0042089784392002495,0.008798531936584017,0.0038271006161030956,304.820027,2.5990681965044686,-0.08193849378644079,1.9520013259133675,-0.5351478857675287,207.323559,3.6104110835318752,-0.2623245069782604,2.3361985510112033,-1.058728552264686,139.57,5.220166610986986,-0.5200044324202985,3.0928529030184837,-1.8059783566004233
23,2,-0.004654411560567191,0.004196899636213409,0.007683399120497926,0.0038271006161030956,304.98965,2.591641020457168,-0.08020330889094102,1.9315427064881698,-0.5262959367761394,207.302341,3.602123491157526,-0.2594609439947716,2.324989515320039,-1.0619011101590907,139.57,5.20784460073963,-0.515311719427938,3.0842119765421776,-1.8135206471673981
23,3,-0.004574243677192735,0.004333812949740835,0.009915954418802723,0.0038271006161030956,304.878372,2.5943983339278676,-0.08082296592449814,1.9771632638103616,-0.5401134009309246,207.408075,3.6032212583094667,-0.2601069545403068,2.3531745463675775,-1.048895868629943,139.57,5.2117795451745135,-0.5168069226431584,3.109581635175454,-1.7878589964524456
23,4,-0.004575328777410058,0.004293812826099462,0.0110851541750745,0.0038271006161030956,304.802088,2.598162957291099,-0.08170789651591352,1.9914360536197437,-0.5496840686317757,207.337229,3.6087875126890503,-0.2618086243675232,2.357683306827638,-1.0526799946099648,139.57,5.218152094640619,-0.519235095002318,3.108489404010768,-1.79179124064239
23,5,-0.0046153927185966885,0.004261339310422288,0.008313958248223237,0.0038271006161030956,304.924842,2.593242425539472,-0.08056286139720194,1.9473559915210812,-0.5298596946205598,207.231467,3.6048308566939684,-0.2601911738585755,2.336917925729976,-1.0563525466905859,139.57,5.210128062515981,-0.5161790053455315,3.09563549112198,-1.8014217504654622
23,6,-0.004616018840122461,0.004216938852542047,0.008590266416995495,0.0038271006161030956,304.98325,2.596547759214294,-0.08139708135560222,1.9487731936454509,-0.5327843104805139,207.191455,3.610541908947196,-0.2620216858302638,2.3359792529835732,-1.0594533826985653,139.57,5.217391906441749,-0.5189449981678957,3.0925455566764057,-1.805847394844907
23,7,-0.00461240617109473,0.004247709909538605,0.008665128885165707,0.0038271006161030956,304.768271,2.595982529417895,-0.08115836762341659,1.9522001978610994,-0.5334790062582769,207.257836,3.6067244177067677,-0.2609008660768178,2.3381829932769627,-1.0569654437851181,139.57,5.213424648708704,-0.5174329696168327,3.095595422159294,-1.8022672762739014
23,8,-0.004639436941646251,0.0041610787915465465,0.008312950845132092,0.0038271006161030956,304.922709,2.5977337782192484,-0.08165932798175132,1.9400512908332288,-0.5322610779944029,207.581775,3.6054922276922583,-0.26133000939479434,2.325972866653217,-1.0611279202822304,139.57,5.2189145353176745,-0.5195261706148574,3.084477902983471,-1.8147527330898705
23,9,-0.004558978752484199,0.004329456874785305,0.011019584781677137,0.0038271006161030956,304.888652,2.5973229145734593,-0.08154263434805023,1.9935203564744317,-0.5478500869970716,207.407711,3.6073358738859036,-0.26150045748299533,2.3606028867342355,-1.0488025390629216,139.57,5.217655407587006,-0.5190455398946572,3.113236210561858,-1.7858327328724073
23,10,-0.00457994919759922,0.004284453702033825,0.01021392156553207,0.0038271006161030956,304.782365,2.598306907709704,-0.08173392275370177,1.978501075067791,-0.5438289054963661,207.214639,3.610724096188645,-0.26214451198257155,2.352615605131892,-1.0538718810237766,139.57,5.21817205317716,-0.5192427130152537,3.1055556259707138,-1.7935774093530379
23,11,-0.004615761686173799,0.004215553634756539,0.007957379066990936,0.0038271006161030956,305.011062,2.596522668040536,-0.0814039491304847,1.939663029945935,-0.5276350155355248,207.230362,3.6101556345405985,-0.2619927291121937,2.3321119078085095,-1.0587588940596757,139.57,5.217712319760191,-0.519067257225019,3.0913043052183014,-1.806079829373647
23,12,-0.00466694993024942,0.00414300912449873,0.00697777320802046,0.0038271006161030956,304.908616,2.594655652547113,-0.08089978897584059,1.9176226552322084,-0.521875494408833,207.196654,3.6071669110378664,-0.26089074624413977,2.3171318492568957,-1.0661751383090141,139.57,5.212686429742319,-0.5171519705665192,3.0768986823323994,-1.8207170162970705
23,13,-0.004620398544972496,0.004212053713932857,0.009076390859802495,0.0038271006161030956,304.842181,2.5971706157599335,-0.08148354253517356,1.955322190115667,-0.5372628105730347,207.303037,3.608334577972236,-0.2615651705236409,2.3372035983871586,-1.0595438468867249,139.57,5.2167385579943435,-0.518695767446514,3.092476604116536,-1.806858021318989
23,14,-0.0046347054390402515,0.004183877720678794,0.008498445508272218,0.0038271006161030956,304.867919,2.596958549875306,-0.08144367416328264,1.9444088736357121,-0.5334220506946263,207.201625,3.609873353275206,-0.2618214044344565,2.331469932867868,-1.062565852821406,139.57,5.216664743271958,-0.5186676150910275,3.0872763067585645,-1.8118041097668856
23,15,-0.00462611142883565,0.00421194990242441,0.008961727728252966,0.0038271006161030956,304.83831,2.596224411161263,-0.08125019674573226,1.9532296272927183,-0.5364676923341768,207.201645,3.608589271249522,-0.2613858070132323,2.3366571353878487,-1.060668022662907,139.57,5.214830526724207,-0.5179684182952154,3.0915057917422555,-1.807714176976766
23,16,-0.004576731332877696,0.004311173196791883,0.011341370284383335,0.0038271006161030956,304.884884,2.5958691227771307,-0.0811850877520852,1.9956129205788444,-0.5508117101296194,207.436377,3.604857263486299,-0.26073469184811476,2.3593553710173887,-1.0512167488513258,139.57,5.2147525229608656,-0.517938698834632,3.110133710847143,-1.7902081960869876
23,17,-0.004631319151977999,0.004202928699787122,0.008286298575809727,0.0038271006161030956,304.903977,2.595659887803451,-0.08114285674566754,1.9426059397155941,-0.5311530864726182,207.439912,3.6046922960491354,-0.2606880164534045,2.330176235531896,-1.0592422139711415,139.57,5.2145956936114715,-0.5178789505739656,3.0888569982635965,-1.8094927326444186
23,18,-0.004619873189347417,0.004183056975555592,0.008891903055634049,0.0038271006161030956,304.832023,2.5998253580568944,-0.08213023309498983,1.9512590297754246,-0.5364833219905126,207.262907,3.612513563950871,-0.2628801947917639,2.334726125846572,-1.0613343368328712,139.57,5.221811545708484,-0.5206332464709635,3.0898939873652314,-1.8096753900444489
23,19,-0.004625331719640236,0.0041976021872982645,0.008618235292957473,0.0038271006161030956,304.89623,2.597198380539846,-0.08151567682958566,1.947558243076621,-0.5338596838158127,207.309273,3.6087778019714247,-0.26173198405157944,2.3332101819588513,-1.0603534675608037,139.57,5.217511816313942,-0.5189907493158596,3.089832041688892,-1.8090866749925485
23,20,-0.004599038721919979,0.00425724652368988,0.00982066189039791,0.0038271006161030956,304.951923,2.5962145861316412,-0.08130088380382613,1.9696924673374645,-0.5412187718327912,207.609446,3.6032478691267102,-0.26064065170045514,2.344224176541768,-1.0535765236803927,139.57,5.216321605853814,-0.5185367598537175,3.10022007899329,-1.7991453430600064
23,21,-0.004622113326168319,0.004217458336537874,0.007667332651970308,0.0038271006161030956,304.924213,2.5958560400533823,-0.08120024671989738,1.9352769166782915,-0.5256326268542731,207.620285,3.602329549280311,-0.26035762040314914,2.3272921945062945,-1.0558976042033912,139.57,5.215249614872316,-0.5181281123806677,3.090087679538114,-1.806868255398274
