fit,j,l1,l2,l3,l4,M30/MeV,rho30re/Mpi,rho30im/Mpi,sigma30re/Mpi,sigma30im/Mpi,M20/MeV,rho21re/Mpi,rho21im/Mpi,sigma21re/Mpi,sigma21im/Mpi,Mph/MeV,rhophre/Mpi,rhophim/Mpi,sigmaphre/Mpi,sigmaphim/Mpi
5,0,-0.004565380950484925,0.00432444117672257,0.011684456456006654,0.0038271006161030956,304.89353,2.5966205203317063,-0.0813729156626968,2.001941451974281,-0.552648246810781,207.342771,3.607434481426831,-0.2613638421460734,2.3638062840362255,-1.050544633333747,139.57,5.216341984631014,-0.5185445306126962,3.1132551800915054,-1.7871454609903128
5,1,-0.004555260238680607,0.004321467923026421,0.01183986035173137,0.0038271006161030956,304.820027,2.599115489321129,-0.08195010920362814,2.0048821427508785,-0.5538469413796223,207.323559,3.6104759856635735,-0.2623465789355452,2.3656271718957034,-1.0502096104856695,139.57,5.220259383813865,-0.5200398821574014,3.1146082791918293,-1.7859261531679225
5,2,-0.004581021055604745,0.004343456681504248,0.011401631668343718,0.0038271006161030956,304.98965,2.591660163928835,-0.08020795972721037,1.9975676701931193,-0.5502080358740195,207.302341,3.6021497849696265,-0.2594698207621217,2.362071862043262,-1.0507196730529054,139.57,5.2078821881385755,-0.515325986941537,3.1122012804473624,-1.7875893424978726
5,3,-0.004531169538845529,0.004418966015872609,0.012164319189437951,0.0038271006161030956,304.878372,2.5944836157803923,-0.08084376373748692,2.0161481865043043,-0.5531230107488067,207.408075,3.603338296683725,-0.2601465515660365,2.3749917999327166,-1.042265934374708,139.57,5.211946919130328,-0.5168705917651722,3.1257295893493926,-1.7724346540328124
5,4,-0.0045685367181928505,0.004307566997877385,0.011696522247337814,0.0038271006161030956,304.802088,2.5981483307209583,-0.08170430990487712,2.0011532514287755,-0.5534779625750529,207.337229,3.608767440911724,-0.2618018070019537,2.3625914714995186,-1.0518114822590399,139.57,5.218123401142798,-0.5192241430682369,3.1115627546507567,-1.7892980663338287
5,5,-0.0045522645896194595,0.00438656666627219,0.011491218129315408,0.0038271006161030956,304.924842,2.5933305023526687,-0.08058430715959551,2.003445218887806,-0.5495631391295895,207.231467,3.6049518397361022,-0.2602320816106131,2.3684385452733405,-1.0466169736686821,139.57,5.210300953346881,-0.5162447147563695,3.11935512354058,-1.7789874647206887
5,6,-0.004550307199920767,0.004347057111821537,0.01188171116860091,0.0038271006161030956,304.98325,2.5966599146205205,-0.08142454555182095,2.0068732972113725,-0.5529074738958613,207.191455,3.610695985076757,-0.26207401510850276,2.368736684320496,-1.0493628593738586,139.57,5.21761203254683,-0.5190289886963854,3.1172924835568563,-1.782612427904708
5,7,-0.0045472401513962256,0.004377378228459009,0.012042983898742966,0.0038271006161030956,304.768271,2.596039472802301,-0.08117228008260258,2.0112779663044633,-0.5539484827503623,207.257836,3.6068025890673714,-0.26092734800158185,2.3712886438280023,-1.0469732448520148,139.57,5.213536367385694,-0.5174755044522305,3.120308030442617,-1.7790654199185463
5,8,-0.00457190174057626,0.004295929876434426,0.011794283738363212,0.0038271006161030956,304.922709,2.597752644712671,-0.0816639546513921,2.0014144579861517,-0.5540557372207305,207.581775,3.6055180987631186,-0.2613387957853407,2.3605029594896902,-1.0509685087221001,139.57,5.218951556611508,-0.5195403072078331,3.110404348678461,-1.790935726623748
5,9,-0.004541706687891116,0.0043640597618804155,0.011738551313528432,0.0038271006161030956,304.888652,2.5973178632006912,-0.08154139668631753,2.0066260490461993,-0.5517101366066954,207.407711,3.6073289424082464,-0.26149810427172104,2.368368053970578,-1.0459926769491312,139.57,5.217645495752431,-0.5190417576683926,3.1194274323684446,-1.7796526936853783
5,10,-0.00456112765194153,0.004321775495235603,0.01137520921255301,0.0038271006161030956,304.782365,2.5983345454296622,-0.08174070082232837,1.9980764394295694,-0.5508957777770207,207.214639,3.6107620404231793,-0.26215740376632113,2.3631936281731436,-1.0511209136032376,139.57,5.218226268298213,-0.5192634069040054,3.1130231077068524,-1.7868499802106628
5,11,-0.004555313481718484,0.004334656976606849,0.011297997524701514,0.0038271006161030956,305.011062,2.5966767872563232,-0.08144169546603414,1.9977127026838861,-0.5491905401964197,207.230362,3.6103673378444214,-0.26206463963622834,2.364001972387426,-1.0497565499826742,139.57,5.218014824804038,-0.5191827024254484,3.1146203324887707,-1.7847148077346426
5,12,-0.0045993489529479485,0.004275487748460853,0.010697299852781747,0.0038271006161030956,304.908616,2.5948891411755612,-0.0809567710639159,1.982944272714473,-0.5473593418817821,207.196654,3.6074876432894682,-0.26099937839203907,2.3529439942027417,-1.0563201571883039,139.57,5.213144690349725,-0.5173263918437135,3.10323046429524,-1.7971978530608665
5,13,-0.004563022446241321,0.004324985747558328,0.012180624273791983,0.0038271006161030956,304.842181,2.5973270456521504,-0.08152185486048302,2.009097198747456,-0.5561133702081295,207.303037,3.6085493035829916,-0.2616380533871308,2.36709775398753,-1.0509881697387353,139.57,5.217045478577873,-0.5188128365380301,3.1145154739659384,-1.7866457098718447
5,14,-0.004568838119325384,0.004314284723831222,0.011822156219397502,0.0038271006161030956,304.867919,2.5970726357487997,-0.08147160971090098,2.003089857468239,-0.5539608231125478,207.201625,3.610030031969789,-0.2618745933840306,2.364553642340521,-1.0525544162857714,139.57,5.216888599125685,-0.5187529954022879,3.1122777717342776,-1.7886439679332031
5,15,-0.004574435396684377,0.0043140581449173585,0.011864554716693078,0.0038271006161030956,304.83831,2.5963311922097443,-0.0812763079769601,2.0032661820646553,-0.5544467952988001,207.201645,3.6087359141413877,-0.2614355343628715,2.3642182735829054,-1.053018640775225,139.57,5.215040048566421,-0.518048252364778,3.111618893239144,-1.789478261005273
5,16,-0.004560808113296015,0.004343237404075403,0.012080220194574361,0.0038271006161030956,304.884884,2.595850431890982,-0.08118051901215609,2.0087510809955083,-0.5548414585990136,207.436377,3.604831617228226,-0.26072600074599817,2.36696741715976,-1.048689272245214,139.57,5.214715843769661,-0.5179247244814104,3.1160247426705743,-1.7845055365942548
5,17,-0.0045655812834957685,0.00433257195233774,0.011731197763316966,0.0038271006161030956,304.903977,2.5958171624449204,-0.08118129748937848,2.002969501244103,-0.5527484208786221,207.439912,3.604908103910011,-0.26076115035179526,2.3638913039779808,-1.049391731108861,139.57,5.214904345781797,-0.5179965445303787,3.1139454217432685,-1.7863490659823336
5,18,-0.004558251166168559,0.0043054727200088645,0.012013496697656473,0.0038271006161030956,304.832023,2.5998967461281466,-0.08214778931205532,2.006193388762506,-0.5553947253442592,207.262907,3.6126115565700436,-0.26291355793865384,2.365744378357229,-1.0519439471822374,139.57,5.22195158057791,-0.520686803720476,3.1133063490531936,-1.787936798886115
5,19,-0.004565431758957797,0.004315584874660822,0.011787834700246141,0.0038271006161030956,304.89623,2.5973546050470464,-0.08155395325917711,2.0029057768332272,-0.5535456602544138,207.309273,3.608992265028624,-0.26180481035582204,2.3640708400430306,-1.0513884257881678,139.57,5.21781836671596,-0.5191077258561108,3.1127527837610502,-1.78802096170988
5,20,-0.004565152670014571,0.004323166033670314,0.011562173694283905,0.0038271006161030956,304.951923,2.596373721786036,-0.08133982552635985,2.0000970095267605,-0.5516401893066429,207.609446,3.6034660924879893,-0.260714651994388,2.3613172704717837,-1.048511719320978,139.57,5.216633927213962,-0.5186558624193294,3.1129599587733194,-1.7872643072254597
5,21,-0.004554164226650825,0.004351952336783628,0.011106067143126475,0.0038271006161030956,304.924213,2.5959765923644085,-0.08122972392806396,1.9961933418523004,-0.5477358123799515,207.620285,3.6024948489524986,-0.26041363557344127,2.3614893088676796,-1.0455950588211043,139.57,5.215486205756385,-0.5182182815510945,3.115745665393178,-1.7828406737070424
5,22,-0.004577515043653125,0.004306922832547161,0.011376232878824513,0.0038271006161030956,304.863474,2.5962444795086634,-0.08126686261507707,1.9958531527911774,-0.5512352105619555,207.416452,3.6054851083170965,-0.2608954592773753,2.359349530717894,-1.0516965807624696,139.57,5.215204474997965,-0.5181109100420231,3.109766222147646,-1.790741227069328
