fit,j,l1,l2,l3,l4,M30/MeV,rho30re/Mpi,rho30im/Mpi,sigma30re/Mpi,sigma30im/Mpi,M20/MeV,rho21re/Mpi,rho21im/Mpi,sigma21re/Mpi,sigma21im/Mpi,Mph/MeV,rhophre/Mpi,rhophim/Mpi,sigmaphre/Mpi,sigmaphim/Mpi
194,0,-0.004558056719327592,0.004339142860864717,0.011791704649729921,0.0038271006161030956,304.89353,2.596615948321768,-0.08137179667709316,2.004765862948452,-0.5529151857933716,207.342771,3.607428205727489,-0.26136171292441895,2.3660035631077574,-1.0492133298193618,139.57,5.216333012834691,-0.5185411095104324,3.115527508863413,-1.784569557987277
194,1,-0.00454296683905926,0.004347199689232362,0.012172623803890349,0.0038271006161030956,304.820027,2.599016901277364,-0.08192589634404639,2.011771132981708,-0.5552696798018913,207.323559,3.6103406885237734,-0.2623005683810336,2.370220461217429,-1.0480167667719449,139.57,5.220065986378148,-0.519965984412626,3.1187752592858153,-1.7814573443463833
194,2,-0.004569713401889635,0.0043661173405286115,0.01142855691537784,0.0038271006161030956,304.98965,2.5916562874494558,-0.08020701793918811,2.0000132214511983,-0.5496861388551694,207.302341,3.6021444605759467,-0.2594680232355051,2.364689309909933,-1.048564894878066,139.57,5.207874576839307,-0.5153230978032908,3.115449448108242,-1.7836425617233418
194,3,-0.004522470916260547,0.004436836462192302,0.012345756221121246,0.0038271006161030956,304.878372,2.594443065098296,-0.08083387422704982,2.0202407742001536,-0.5537371805348662,207.408075,3.603282646153164,-0.2601277230982944,2.377891973338352,-1.0406725009513413,139.57,5.211867334596559,-0.5168403170604394,3.128507239863915,-1.7692799375960029
194,4,-0.0045578291293943765,0.0043290626607993855,0.011853199948379673,0.0038271006161030956,304.802088,2.598141408126823,-0.08170261243072667,2.005281661748601,-0.553866557599301,207.337229,3.6087579411557806,-0.2617985804569763,2.3658074458767246,-1.0498687371496886,139.57,5.218109820815935,-0.5192189596934478,3.1148914498202465,-1.7855378292119841
194,5,-0.004540617488202404,0.004410974908546775,0.011933419459781488,0.0038271006161030956,304.924842,2.5932351379362943,-0.08056108707965792,2.0117254385970003,-0.5517872266951762,207.231467,3.6048208463566396,-0.2601877892725627,2.373476711767004,-1.0446089814389143,139.57,5.210113757225918,-0.5161735687077157,3.123506961362364,-1.7746983428928063
194,6,-0.004544295189379888,0.004359237017067994,0.011954920146772966,0.0038271006161030956,304.98325,2.5966465169801918,-0.08142126452829723,2.008987607553412,-0.5530138143278482,207.191455,3.610677579800865,-0.26206776371518736,2.3704571763952065,-1.048245085203594,139.57,5.217585737254214,-0.5190189550354899,3.1191286226500283,-1.780480804432633
194,7,-0.0045426585404207,0.004386849966017751,0.012102298132746426,0.0038271006161030956,304.768271,2.596013003499711,-0.08116581292077613,2.01294335615604,-0.5540403754335087,207.257836,3.6067662522783763,-0.26091503805488037,2.3726266149045387,-1.0461102185844078,139.57,5.213484436646836,-0.5174557324586511,3.1217223499452036,-1.7774161239144228
194,8,-0.0045700717582801715,0.004299196496070034,0.011767843922852484,0.0038271006161030956,304.922709,2.597786482705072,-0.08167225316292677,2.001364935387952,-0.5537714929547009,207.581775,3.6055644997486165,-0.2613545550775251,2.3607324730197408,-1.0506240171221404,139.57,5.219017956005545,-0.5195656625432475,3.1108457100000098,-1.7903465745444356
194,9,-0.004536205291574934,0.004375022078083446,0.011880627473306345,0.0038271006161030956,304.888652,2.5973213429255395,-0.08154224926977699,2.0095851151681505,-0.5523168580892172,207.407711,3.607333717275821,-0.26149972532028015,2.370346444717445,-1.0450336208641298,139.57,5.217652323690247,-0.5190443631178796,3.121225785577366,-1.77770038019231
