194,0
3.8714649999999997,-0.111024
4.439191999999999,-0.366631
8.474611,-0.49261499999999997
6.350732,-1.334898
194,1
3.89376,-0.174484
4.782418,-0.571816
8.549464,-0.769705
6.528753999999999,-1.483345
194,2
3.890463,-0.17354899999999998
4.721382999999999,-0.579436
8.545758,-0.757058
6.3565249999999995,-1.392699
194,3
3.862055,-0.170986
4.653947,-0.587326
8.477395999999999,-0.772014
6.2313089999999995,-1.290586
194,4
3.885602,-0.109049
4.630504,-0.543326
8.504356999999999,-0.47974999999999995
6.250468,-1.2774029999999998
194,5
3.846971,-0.209175
"nf","nf"
8.469096,-0.9527819999999999
6.016683,-1.0224419999999999
194,6
3.854405,-0.15928799999999999
4.438234,-0.38078599999999996
8.457772,-0.718729
5.976639,-0.962449
194,7
3.853723,-0.171535
4.429698,-0.391018
8.461008,-0.7764059999999999
5.953552999999999,-0.9683539999999999
194,8
3.8672549999999997,-0.156804
4.573526,-0.58244
8.485278,-0.69997
6.074819,-1.0920269999999999
194,9
3.854644,-0.160164
4.55715,-0.589124
8.459285999999999,-0.720841
6.034676999999999,-0.9987729999999999
194,10
3.89708,-0.135106
4.46273,-0.273427
8.541125,-0.586189
6.14447,-1.172169
194,11
3.871952,-0.105046
4.5863499999999995,-0.547159
8.475482,-0.462748
6.058745,-1.00468
194,12
3.856986,-0.089297
4.589847,-0.5242669999999999
8.438988,-0.39492099999999997
6.149145,-1.174029
194,13
3.8573329999999997,-0.111744
4.430086,-0.360074
8.442221,-0.50374
5.949629,-0.919403
194,14
3.862244,-0.192999
"nf","nf"
8.491871,-0.871281
5.960023,-0.9827619999999999
194,15
3.8853039999999996,-0.10749399999999999
4.6644049999999995,-0.5336339999999999
8.502642,-0.473929
6.25038,-1.2939669999999999
194,16
3.874475,-0.15364999999999998
4.619115,-0.5773539999999999
8.496946,-0.6860419999999999
6.137518999999999,-1.1731019999999999
194,17
3.8676559999999998,-0.119631
4.436941,-0.37110499999999996
8.469225,-0.532776
6.142125,-1.1770639999999999
194,18
3.83281,-0.17809799999999998
4.66778,-0.576974
8.416029,-0.8266669999999999
6.483466,-1.411537
194,19
3.8859679999999996,-0.12291099999999999
4.689515999999999,-0.540956
8.510157,-0.541369
6.467422,-1.3822189999999999
194,20
3.884193,-0.126269
4.715743,-0.536791
8.508579,-0.554968
6.512554,-1.3667719999999999
194,21
3.885357,-0.13297599999999998
4.683263,-0.551898
8.516453,-0.578233
6.467206,-1.395163
194,22
"nf","nf"
4.663613,-0.45108499999999996
"nf","nf"
6.391367,-1.219191
194,23
3.8770559999999996,-0.153056
4.439287,-0.367701
8.506670999999999,-0.673464
6.025943,-0.977942
194,24
"nf","nf"
4.617469,-0.470032
"nf","nf"
6.156489,-1.185957
194,25
3.878703,-0.113036
4.58739,-0.5545169999999999
8.491211999999999,-0.498245
6.074845,-1.093681
194,26
3.8399479999999997,-0.200046
4.654337,-0.605395
8.445784,-0.9212739999999999
6.234254,-1.2950359999999999
194,27
"nf","nf"
4.713423,-0.440057
"nf","nf"
6.496652999999999,-1.1928379999999998
194,28
3.8448019999999996,-0.176581
4.436132,-0.38466999999999996
8.442587999999999,-0.8108569999999999
5.984712,-0.97215
194,29
3.8704009999999998,-0.106557
4.43971,-0.362688
8.469767,-0.47484099999999996
6.1478779999999995,-1.171292
194,30
3.876344,-0.11053299999999999
4.580861,-0.551401
8.485135,-0.488782
6.0536829999999995,-1.001218
194,31
3.910189,-0.117577
4.614822,-0.563568
8.56354,-0.503145
6.1447959999999995,-1.1714719999999998
194,32
3.8967319999999996,-0.128887
4.5962119999999995,-0.571155
8.53634,-0.561743
6.074983,-1.101862
194,33
3.83091,-0.24481499999999998
4.427049,-0.413277
8.452378,-1.148343
6.221931,-1.277309
194,34
3.8927479999999997,-0.10323199999999999
4.688744,-0.527532
8.518602,-0.451387
6.448638,-1.3737739999999998
194,35
3.846291,-0.18906399999999998
4.452684,-0.29832
8.459422,-0.854744
6.061455,-1.024772
194,36
3.900867,-0.158834
4.5913129999999995,-0.593963
8.557618999999999,-0.694861
6.074961999999999,-1.1006669999999998
194,37
"nf","nf"
4.634905,-0.465423
"nf","nf"
6.317824,-1.251909
194,38
3.851021,-0.170462
4.436151,-0.381219
8.454895,-0.7747569999999999
5.998754,-0.975143
194,39
3.8582919999999996,-0.19025499999999998
4.431761,-0.39588199999999996
8.48258,-0.8590669999999999
6.075005,-1.103009
194,40
3.874389,-0.162496
4.560866,-0.592869
8.501102999999999,-0.725938
6.030894,-0.99834
194,41
3.845332,-0.17657599999999998
"nf","nf"
8.443745,-0.810222
5.9581,-0.9642679999999999
194,42
3.9469399999999997,-0.181111
4.6215459999999995,-0.5754199999999999
8.535884,-0.631517
6.141671,-1.173114
194,43
"nf","nf"
4.631974,-0.460956
"nf","nf"
