FitNr,key,MP/mpi2,lmax/shells,kmax/momlu,2b-model,l1r,l2r,l3r,l4r,csc/mpi^{-2},csp208,ms208/mpi,crc208/mpi^{-2},crp208,mr208/mpi,csc305/mpi^{-2},csp305,ms305/mpi,crc305/mpi^{-2},crp305,mr305/mpi,chi2dof,Ndata,Npars,ReP208/mpi,ImP208/mpi,ReP305/mpi,ImP305/mpi
24,no4mIAM-general_x_pc_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00462342,0.00421046,0.00851585,/,/,/,/,/,/,/,19.5363,117.079,4.40281,/,/,/,1.1150930995510766,33,6
25,no34mIAM-general_x_pc_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00476184,0.00392723,/,/,/,/,/,/,/,/,21.1783,34.648,4.04385,/,/,/,1.4303326826064062,33,5
27,no34mIAM-general_x_pc_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.00476184,0.00392723,/,/,/,/,/,/,/,/,21.1783,34.648,4.04385,/,/,/,1.4303326826064062,33,5
28,mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00540588,0.00415956,0.00739617,-0.0230274,/,/,/,/,/,/,/,/,/,9.19143,38.1403,4.21077,1.790723339619544,33,7
29,mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00537198,0.00416699,0.00818079,-0.0223444,/,/,/,/,/,/,/,/,/,9.19143,38.1403,4.21134,1.720146180709214,33,7
30,mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00540588,0.00415956,0.00739617,-0.0230274,/,/,/,/,/,/,/,/,/,9.19143,38.1403,4.21077,1.790723339619544,33,7
31,no4mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00443125,0.00460098,0.0111123,/,/,/,/,/,/,/,/,/,/,-8.82782,7.81102,0.280056,1.5967438529712987,33,6
32,no4mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00457431,0.00431562,0.0113383,/,/,/,/,/,/,/,/,/,/,-0.00800644,9.7834,3.98374,1.3104055045295144,33,6
33,no4mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00443125,0.00460098,0.0111123,/,/,/,/,/,/,/,/,/,/,-8.82782,7.81102,0.280056,1.5967438529712987,33,6
34,no34mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00466159,0.0041232,/,/,/,/,/,/,/,/,/,/,/,3.62217,1.08629e-20,0.142805,3.0566627230135004,33,5
35,no34mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00478,0.00389581,/,/,/,/,/,/,/,/,/,/,/,4.69877,16.1561,4.00367,2.463901235209432,33,5
36,no34mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.00466159,0.0041232,/,/,/,/,/,/,/,/,/,/,/,3.62217,1.08629e-20,0.142805,3.0566627230135004,33,5
37,mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00483871,0.00440369,0.0108905,-0.012924,/,/,/,/,/,/,-2.99533e-09,/,/,/,/,/,2.2606219328013526,33,5
38,mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00484184,0.00440055,0.010851,-0.0129851,/,/,/,/,/,/,-3.01427e-09,/,/,/,/,/,2.2640095883438724,33,5
39,mIAM-general_x_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00483871,0.00440369,0.0108905,-0.012924,/,/,/,/,/,/,-2.99533e-09,/,/,/,/,/,2.2606219328013526,33,5
40,no4mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00443395,0.00463829,0.0133598,/,/,/,/,/,/,/,-6.51179,/,/,/,/,/,2.619621236910533,33,4
41,no4mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00430999,0.00488921,0.0140342,/,/,/,/,/,/,/,-7.75154,/,/,/,/,/,2.5760167242064127,33,4
42,no4mIAM-general_x_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00443395,0.00463829,0.0133598,/,/,/,/,/,/,/,-6.51179,/,/,/,/,/,2.619621236910533,33,4
43,no34mIAM-general_x_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.0044636,0.00457498,/,/,/,/,/,/,/,/,15.3235,/,/,/,/,/,3.649790426756612,33,3
44,no34mIAM-general_x_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.0044673,0.00456626,/,/,/,/,/,/,/,/,15.2685,/,/,/,/,/,3.626973245829595,33,3
45,no34mIAM-general_x_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.0044636,0.00457498,/,/,/,/,/,/,/,/,15.3235,/,/,/,/,/,3.649790426756612,33,3
55,mIAM-general_c_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00435211,0.00490015,0.0111748,-0.000909711,/,/,/,/,/,/,0.280694,/,/,-0.788937,/,/,2.7517532390730377,33,6
56,mIAM-general_c_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00431214,0.00488392,0.0107585,0.00280152,/,/,/,/,/,/,0.321655,/,/,-0.834718,/,/,2.8075521257419362,33,6
57,mIAM-general_c_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00435211,0.00490015,0.0111748,-0.000909711,/,/,/,/,/,/,0.280694,/,/,-0.788937,/,/,2.7517532390730377,33,6
58,no4mIAM-general_c_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00454769,0.00435837,0.0124997,/,/,/,/,/,/,/,-3.84976,/,/,-9.69648,/,/,1.3855379876270162,33,5
59,no4mIAM-general_c_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00454597,0.0043609,0.0124731,/,/,/,/,/,/,/,-4.10182,/,/,-8.0504,/,/,1.4208654018684646,33,5
60,no4mIAM-general_c_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00454769,0.00435837,0.0124997,/,/,/,/,/,/,/,-3.84976,/,/,-9.69648,/,/,1.3855379876270162,33,5
61,no34mIAM-general_c_c_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.0046539,0.00414479,/,/,/,/,/,/,/,/,3.59854,/,/,-10.6454,/,/,2.167351526632348,33,4
62,no34mIAM-general_c_c_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00466095,0.00412946,/,/,/,/,/,/,/,/,1.10027,/,/,-8.52168,/,/,2.3884476594408937,33,4
63,no34mIAM-general_c_c_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.0046539,0.00414479,/,/,/,/,/,/,/,/,3.59854,/,/,-10.6454,/,/,2.167351526632348,33,4
64,mIAM-general_x_p_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00464609,0.00415074,0.00663701,0.004303,/,14.6701,4.95247,/,/,/,/,/,/,/,/,/,1.0338187660787626,27,6
65,mIAM-general_x_p_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00464608,0.00415074,0.00663703,0.00430344,/,14.6696,4.95249,/,/,/,/,/,/,/,/,/,1.0338186325287801,27,6
66,mIAM-general_x_p_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00464609,0.00415074,0.00663701,0.004303,/,14.6701,4.95247,/,/,/,/,/,/,/,/,/,1.0338187660787626,27,6
67,no4mIAM-general_x_p_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00465121,0.00414927,0.0066206,/,/,14.7923,4.95294,/,/,/,/,/,/,/,/,/,0.9870732564370993,27,5
68,no4mIAM-general_x_p_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00465121,0.00414927,0.00662063,/,/,14.792,4.95296,/,/,/,/,/,/,/,/,/,0.9870731343661988,27,5
69,no4mIAM-general_x_p_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00465121,0.00414927,0.0066206,/,/,14.7923,4.95294,/,/,/,/,/,/,/,/,/,0.9870732564370993,27,5
70,no34mIAM-general_x_p_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00476428,0.00392073,/,/,/,12.8955,4.92324,/,/,/,/,/,/,/,/,/,1.13837438309608,27,4
