E_0 E_1 E_2 
0.24337(89) 0.4819(21) 0.6381(28) 
0 0.243366 0.481875 0.638137 
1 0.243293 0.481710 0.638128 
2 0.243226 0.481331 0.638091 
3 0.243355 0.481670 0.637974 
4 0.243315 0.482030 0.638321 
5 0.243422 0.482337 0.638705 
6 0.243306 0.481818 0.637898 
7 0.243258 0.481750 0.638540 
8 0.243224 0.481638 0.638297 
9 0.243362 0.481821 0.637714 
10 0.243410 0.481902 0.638808 
11 0.243551 0.481921 0.637505 
12 0.243525 0.481463 0.637908 
13 0.243588 0.482343 0.638591 
14 0.243245 0.482055 0.638177 
15 0.243289 0.482237 0.638584 
16 0.243105 0.481677 0.637825 
17 0.243242 0.481445 0.638428 
18 0.243375 0.481925 0.637421 
19 0.243319 0.482417 0.638204 
20 0.243384 0.482068 0.638080 
21 0.243297 0.481814 0.638684 
22 0.243390 0.481842 0.637918 
23 0.243392 0.482217 0.637917 
24 0.243640 0.481489 0.638482 
25 0.243399 0.482156 0.638609 
26 0.243263 0.482001 0.638282 
27 0.243275 0.481883 0.638383 
28 0.243368 0.481933 0.638783 
29 0.243247 0.482030 0.638101 
30 0.243313 0.481851 0.638218 
31 0.243300 0.481529 0.638282 
32 0.243313 0.481966 0.637706 
33 0.243314 0.481750 0.637532 
34 0.243298 0.481847 0.638161 
35 0.243286 0.481673 0.638383 
36 0.243533 0.482180 0.638185 
37 0.243241 0.481433 0.637506 
38 0.243269 0.481505 0.638020 
39 0.243282 0.481998 0.637406 
40 0.243298 0.481797 0.638178 
41 0.243411 0.482017 0.638225 
42 0.243327 0.482121 0.637688 
43 0.243271 0.481768 0.638430 
44 0.243361 0.482162 0.637681 
45 0.243441 0.481491 0.637889 
46 0.243355 0.481824 0.638200 
47 0.243475 0.481934 0.637397 
48 0.243325 0.481438 0.637741 
49 0.243487 0.482051 0.638441 
50 0.243418 0.482143 0.637959 
51 0.243424 0.481459 0.638058 
52 0.243267 0.481722 0.637903 
53 0.243360 0.481853 0.638305 
54 0.243517 0.482051 0.638256 
55 0.243416 0.482094 0.638255 
56 0.243431 0.482477 0.638547 
57 0.243355 0.481996 0.638867 
58 0.243420 0.481587 0.637861 
59 0.243793 0.481843 0.638246 
60 0.243556 0.481529 0.637906 
