E_0 E_1 E_2 E_3 E_4 E_5 E_6 
0.3339(53) 0.477(13) 0.549(21) 0.567(23) 0.578(13) 0.654(51) 0.714(24) 
0 0.333943 0.476571 0.548581 0.566699 0.578197 0.654153 0.714352 
1 0.332881 0.477778 0.551823 0.568724 0.578163 0.659945 0.715627 
2 0.333494 0.477037 0.545639 0.563451 0.581435 0.661410 0.719022 
3 0.333823 0.474738 0.547775 0.563925 0.576523 0.641370 0.713567 
4 0.333566 0.478036 0.546895 0.570936 0.577730 0.646576 0.712841 
5 0.334054 0.476214 0.546751 0.566389 0.577876 0.654311 0.712907 
6 0.334214 0.477787 0.549733 0.567568 0.578535 0.653689 0.712503 
7 0.333836 0.473454 0.544012 0.561857 0.578808 0.652799 0.712892 
8 0.333903 0.476341 0.549410 0.564555 0.577220 0.657248 0.716419 
9 0.333619 0.476781 0.549756 0.564083 0.579059 0.655409 0.714440 
10 0.332652 0.478567 0.550721 0.566710 0.577891 0.663960 0.717452 
11 0.334313 0.476901 0.549152 0.564330 0.578368 0.659018 0.714252 
12 0.335211 0.475390 0.541043 0.558876 0.584668 0.657875 0.729434 
13 0.335111 0.476337 0.549471 0.565569 0.577563 0.644499 0.714259 
14 0.334993 0.477526 0.550174 0.566188 0.577340 0.645421 0.714715 
15 0.332766 0.477091 0.549726 0.563647 0.578143 0.645762 0.714421 
16 0.334681 0.477566 0.550199 0.573290 0.578149 0.657633 0.715518 
17 0.334910 0.475641 0.550819 0.565046 0.577867 0.656306 0.714145 
18 0.334889 0.473224 0.546299 0.564443 0.577541 0.642179 0.711564 
19 0.334526 0.477767 0.549294 0.565980 0.577094 0.651280 0.715380 
20 0.333485 0.475151 0.546761 0.564559 0.579081 0.657741 0.717791 
21 0.333727 0.477228 0.545954 0.564027 0.581306 0.656784 0.721039 
22 0.333789 0.477626 0.550781 0.571424 0.579446 0.654836 0.714163 
23 0.333015 0.478162 0.547104 0.571043 0.579662 0.659717 0.715184 
24 0.334222 0.475967 0.544717 0.566560 0.583687 0.660958 0.722317 
25 0.334210 0.477108 0.546935 0.566099 0.579182 0.664396 0.716892 
26 0.333123 0.474899 0.547672 0.565444 0.578178 0.654244 0.712265 
27 0.333322 0.479691 0.551423 0.569790 0.579208 0.660386 0.716947 
28 0.334716 0.475274 0.545902 0.565935 0.582239 0.662171 0.720341 
29 0.333942 0.475832 0.550363 0.562652 0.576870 0.645168 0.712564 
30 0.333660 0.478022 0.550000 0.569100 0.577324 0.648269 0.713122 
31 0.333829 0.477065 0.551082 0.572171 0.577317 0.647402 0.713843 
32 0.334512 0.479542 0.548304 0.567263 0.579484 0.658673 0.714495 
33 0.332968 0.475094 0.543678 0.561637 0.576465 0.651380 0.714101 
34 0.334789 0.474546 0.544085 0.560783 0.581936 0.655601 0.714798 
35 0.333880 0.474556 0.549192 0.565838 0.577008 0.652581 0.715762 
36 0.333397 0.480626 0.556029 0.569386 0.580870 0.658868 0.714527 
37 0.334224 0.475962 0.545549 0.563294 0.577983 0.661892 0.719443 
38 0.334452 0.474627 0.549631 0.563616 0.578198 0.650327 0.713171 
39 0.333567 0.475636 0.551144 0.565783 0.577990 0.648550 0.715100 
40 0.334210 0.474691 0.546549 0.568325 0.578245 0.651468 0.712920 
41 0.334479 0.474595 0.546450 0.566571 0.577608 0.649334 0.715662 
42 0.333470 0.475818 0.544540 0.565976 0.579044 0.646745 0.714714 
43 0.333544 0.475815 0.545554 0.566943 0.579183 0.651755 0.715077 
44 0.333905 0.476016 0.548655 0.567195 0.577710 0.647311 0.715105 
45 0.333448 0.476376 0.547909 0.566884 0.578726 0.656099 0.718250 
46 0.332279 0.477812 0.552168 0.564968 0.578474 0.655006 0.713176 
47 0.333007 0.478304 0.550353 0.568044 0.577821 0.649701 0.715078 
48 0.334210 0.475845 0.549063 0.564990 0.577516 0.651748 0.711692 
49 0.333918 0.471425 0.544047 0.561475 0.578376 0.648483 0.712676 
50 0.332043 0.479988 0.553233 0.570585 0.580023 0.661930 0.715480 
51 0.334560 0.475967 0.548588 0.566611 0.578156 0.653339 0.712990 
52 0.333396 0.474435 0.548560 0.565955 0.577159 0.644472 0.711039 
53 0.333627 0.477778 0.550673 0.563713 0.578616 0.644660 0.710629 
54 0.334440 0.478497 0.550062 0.568570 0.578455 0.653458 0.713095 
55 0.334480 0.474864 0.547088 0.567201 0.576585 0.647542 0.715272 
56 0.334665 0.476910 0.548292 0.564935 0.579585 0.653242 0.715842 
57 0.334228 0.479592 0.552085 0.572528 0.579706 0.664230 0.714767 
58 0.334071 0.476289 0.545927 0.565233 0.576391 0.649341 0.713333 
59 0.334805 0.477407 0.547979 0.565592 0.577070 0.635340 0.712862 
60 0.334304 0.475138 0.548948 0.562223 0.576726 0.641584 0.712015 
