E_0 E_1 E_2 E_3 
0.1417(60) 0.358(14) 0.520(12) 0.586(27) 
0 0.141739 0.357577 0.520250 0.585779 
1 0.142091 0.357206 0.521846 0.586094 
2 0.142070 0.359263 0.521448 0.585859 
3 0.141771 0.358233 0.521210 0.584652 
4 0.141694 0.357324 0.520561 0.585227 
5 0.141444 0.357920 0.521158 0.585714 
6 0.139908 0.356193 0.518320 0.583393 
7 0.142578 0.349177 0.514785 0.583216 
8 0.140333 0.356615 0.519669 0.585863 
9 0.141847 0.356604 0.519786 0.583649 
10 0.141024 0.355924 0.519171 0.588430 
11 0.143113 0.356957 0.521389 0.587151 
12 0.141127 0.353393 0.518003 0.584979 
13 0.142187 0.358211 0.520054 0.587771 
14 0.141958 0.357208 0.520552 0.588932 
15 0.141552 0.361005 0.524394 0.587734 
16 0.141370 0.358112 0.521090 0.585100 
17 0.142507 0.362466 0.522562 0.587802 
18 0.143019 0.357200 0.519827 0.587369 
19 0.142511 0.354377 0.520914 0.581508 
20 0.143443 0.355597 0.519184 0.585796 
21 0.141783 0.356905 0.518821 0.582804 
22 0.142019 0.357617 0.519430 0.585242 
23 0.140109 0.359404 0.519497 0.583278 
24 0.142101 0.357841 0.519885 0.586120 
25 0.142643 0.356346 0.520063 0.588300 
26 0.141055 0.357794 0.519793 0.585871 
27 0.140871 0.357919 0.519861 0.586119 
28 0.140903 0.358147 0.520926 0.587521 
29 0.141165 0.358005 0.521109 0.587326 
30 0.141426 0.355962 0.518077 0.585181 
31 0.142016 0.357668 0.520635 0.584133 
32 0.142453 0.355922 0.517045 0.585972 
33 0.140811 0.358422 0.520386 0.585754 
34 0.141968 0.359007 0.521760 0.584644 
35 0.142030 0.358314 0.519891 0.596579 
36 0.142003 0.357948 0.520347 0.585211 
37 0.141380 0.358486 0.521165 0.585160 
38 0.141248 0.356065 0.518616 0.585602 
39 0.142028 0.356741 0.520059 0.585785 
40 0.142751 0.358705 0.520558 0.588129 
41 0.141820 0.358882 0.520991 0.584976 
42 0.140787 0.359958 0.520087 0.585667 
43 0.141087 0.358499 0.520737 0.584996 
44 0.141772 0.356691 0.519755 0.586035 
45 0.140273 0.358151 0.520910 0.585965 
46 0.141307 0.356503 0.521612 0.588839 
47 0.140526 0.357336 0.519223 0.584051 
48 0.142403 0.358674 0.519150 0.583370 
49 0.143548 0.358480 0.524474 0.606722 
50 0.141062 0.357317 0.518009 0.586980 
51 0.141883 0.357528 0.520014 0.583590 
52 0.142526 0.358138 0.520299 0.583618 
53 0.142112 0.360671 0.522349 0.587569 
54 0.141178 0.355466 0.519509 0.581287 
55 0.142582 0.357190 0.520010 0.584204 
56 0.141667 0.356456 0.518356 0.584164 
57 0.141404 0.356676 0.519898 0.584947 
58 0.140923 0.358423 0.520783 0.586205 
59 0.141183 0.357092 0.519317 0.584643 
60 0.141585 0.357637 0.520432 0.585667 
