E_0 E_1 E_2 E_3 
0.2184(44) 0.359(21) 0.438(75) 0.556(39) 
0 0.218418 0.358988 0.437644 0.555903 
1 0.217632 0.360780 0.446417 0.553347 
2 0.218120 0.357764 0.434116 0.554616 
3 0.218099 0.357490 0.438907 0.561358 
4 0.218021 0.361347 0.448866 0.563147 
5 0.218717 0.356479 0.431172 0.551723 
6 0.218307 0.360887 0.445042 0.559388 
7 0.218698 0.354270 0.420195 0.551332 
8 0.218524 0.357801 0.429435 0.552016 
9 0.218238 0.359739 0.436277 0.550003 
10 0.216980 0.362608 0.443285 0.557820 
11 0.218741 0.358217 0.428816 0.549729 
12 0.218888 0.354901 0.423174 0.550827 
13 0.219225 0.359728 0.446135 0.561415 
14 0.219212 0.361177 0.437961 0.556134 
15 0.218242 0.362714 0.443284 0.553329 
16 0.218814 0.359073 0.449099 0.559087 
17 0.219084 0.357724 0.435621 0.556688 
18 0.219062 0.353453 0.424535 0.558755 
19 0.219006 0.359932 0.434230 0.554378 
20 0.218339 0.357119 0.435548 0.559542 
21 0.217939 0.358390 0.435482 0.554776 
22 0.218088 0.361568 0.456580 0.567994 
23 0.217245 0.360304 0.449078 0.562537 
24 0.218327 0.356616 0.428921 0.555525 
25 0.218438 0.358131 0.440518 0.555996 
26 0.217841 0.355993 0.429414 0.556099 
27 0.218097 0.363109 0.452244 0.557275 
28 0.218964 0.355912 0.440680 0.561609 
29 0.218357 0.357886 0.434491 0.553028 
30 0.218090 0.360639 0.445579 0.557804 
31 0.218192 0.359970 0.457397 0.567754 
32 0.218987 0.362288 0.445997 0.559897 
33 0.217805 0.354833 0.424730 0.552508 
34 0.219158 0.357289 0.423636 0.551052 
35 0.218422 0.357797 0.438103 0.555839 
36 0.218214 0.366681 0.468974 0.571162 
37 0.218628 0.356902 0.424589 0.547578 
38 0.218865 0.356606 0.428080 0.545535 
39 0.217835 0.358221 0.439987 0.551701 
40 0.218543 0.356225 0.437873 0.561705 
41 0.218568 0.357262 0.429282 0.548906 
42 0.217648 0.360289 0.435139 0.551915 
43 0.218356 0.359785 0.435562 0.556393 
44 0.218024 0.359684 0.433975 0.556426 
45 0.218198 0.359211 0.440739 0.559143 
46 0.217415 0.362422 0.436677 0.550316 
47 0.216996 0.360538 0.445099 0.562580 
48 0.218689 0.357883 0.438315 0.559459 
49 0.218453 0.351851 0.422179 0.552789 
50 0.216542 0.363276 0.448193 0.555962 
51 0.218979 0.357503 0.436988 0.559687 
52 0.218303 0.356881 0.436412 0.557178 
53 0.218126 0.363316 0.449066 0.558518 
54 0.218970 0.361571 0.442120 0.555290 
55 0.218836 0.355788 0.443121 0.558387 
56 0.218805 0.358707 0.433823 0.554555 
57 0.218646 0.362704 0.460334 0.566495 
58 0.218466 0.356776 0.431761 0.555147 
59 0.218831 0.359250 0.441136 0.561909 
60 0.218555 0.356799 0.432939 0.557047 
