m_pi mpiL
0.08139(36) 3.907(17) 
0 0.081392 3.906800 
1 0.081384 3.906438 
2 0.081376 3.906038 
3 0.081417 3.908030 
4 0.081389 3.906695 
5 0.081348 3.904703 
6 0.081332 3.903949 
7 0.081358 3.905199 
8 0.081485 3.911303 
9 0.081417 3.908023 
10 0.081341 3.904386 
11 0.081348 3.904682 
12 0.081334 3.904047 
13 0.081376 3.906051 
14 0.081336 3.904140 
15 0.081336 3.904141 
16 0.081428 3.908564 
17 0.081430 3.908630 
18 0.081360 3.905295 
19 0.081379 3.906169 
20 0.081496 3.911825 
21 0.081501 3.912029 
22 0.081421 3.908188 
23 0.081382 3.906344 
24 0.081333 3.903998 
25 0.081353 3.904959 
26 0.081334 3.904049 
27 0.081362 3.905367 
28 0.081370 3.905779 
29 0.081401 3.907261 
30 0.081372 3.905864 
31 0.081346 3.904596 
32 0.081411 3.907709 
33 0.081470 3.910554 
34 0.081380 3.906255 
35 0.081454 3.909789 
36 0.081380 3.906229 
37 0.081368 3.905671 
38 0.081391 3.906757 
39 0.081432 3.908731 
40 0.081476 3.910844 
41 0.081396 3.907023 
42 0.081392 3.906828 
43 0.081362 3.905395 
44 0.081349 3.904776 
45 0.081313 3.903038 
46 0.081306 3.902689 
47 0.081373 3.905892 
48 0.081440 3.909143 
49 0.081471 3.910620 
50 0.081381 3.906265 
51 0.081411 3.907742 
52 0.081354 3.904980 
53 0.081456 3.909901 
54 0.081436 3.908914 
55 0.081459 3.910029 
56 0.081420 3.908173 
57 0.081456 3.909871 
58 0.081378 3.906123 
59 0.081374 3.905952 
60 0.081367 3.905616 
