E_0 E_1 E_2 
0.24073(48) 0.36354(51) 0.45615(60) 
0 0.240727 0.363543 0.456155 
1 0.240684 0.363443 0.456057 
2 0.240791 0.363602 0.456239 
3 0.240675 0.363433 0.456060 
4 0.240640 0.363508 0.456203 
5 0.240739 0.363529 0.456096 
6 0.240821 0.363592 0.456236 
7 0.240619 0.363478 0.456144 
8 0.240767 0.363609 0.456272 
9 0.240728 0.363526 0.456140 
10 0.240643 0.363483 0.456110 
11 0.240812 0.363571 0.456157 
12 0.240759 0.363605 0.456218 
13 0.240710 0.363524 0.456141 
14 0.240710 0.363577 0.456129 
15 0.240663 0.363509 0.456094 
16 0.240705 0.363581 0.456108 
17 0.240746 0.363517 0.456190 
18 0.240692 0.363494 0.456092 
19 0.240749 0.363553 0.456143 
20 0.240771 0.363595 0.456213 
21 0.240726 0.363559 0.456219 
22 0.240698 0.363540 0.456297 
23 0.240711 0.363531 0.456128 
24 0.240653 0.363441 0.456016 
25 0.240687 0.363501 0.456155 
26 0.240662 0.363468 0.456048 
27 0.240745 0.363519 0.456145 
28 0.240824 0.363662 0.456231 
29 0.240759 0.363558 0.456176 
30 0.240792 0.363583 0.456186 
31 0.240729 0.363530 0.456107 
32 0.240666 0.363465 0.456036 
33 0.240725 0.363596 0.456233 
34 0.240802 0.363602 0.456182 
35 0.240732 0.363541 0.456167 
36 0.240747 0.363600 0.456232 
37 0.240669 0.363455 0.456043 
38 0.240838 0.363677 0.456279 
39 0.240747 0.363535 0.456100 
40 0.240699 0.363543 0.456092 
41 0.240760 0.363614 0.456204 
42 0.240650 0.363483 0.456151 
43 0.240729 0.363515 0.456106 
44 0.240674 0.363443 0.456151 
45 0.240615 0.363424 0.456094 
46 0.240727 0.363518 0.456035 
47 0.240739 0.363625 0.456255 
48 0.240606 0.363437 0.456027 
49 0.240601 0.363463 0.456099 
50 0.240697 0.363442 0.455962 
51 0.240777 0.363567 0.456164 
52 0.240664 0.363485 0.456103 
53 0.240690 0.363570 0.456181 
54 0.240729 0.363607 0.456255 
55 0.240815 0.363644 0.456336 
56 0.240804 0.363649 0.456306 
57 0.240744 0.363549 0.456114 
58 0.240795 0.363606 0.456225 
59 0.240855 0.363658 0.456223 
60 0.240857 0.363646 0.456147 
