m_pi mpiL
0.08117(88) 2.597(28) 
0 0.081171 2.597464 
1 0.081344 2.603015 
2 0.081026 2.592846 
3 0.081237 2.599569 
4 0.081020 2.592652 
5 0.081216 2.598926 
6 0.081032 2.593014 
7 0.081083 2.594668 
8 0.081016 2.592517 
9 0.081303 2.601711 
10 0.081373 2.603942 
11 0.081207 2.598640 
12 0.081094 2.595010 
13 0.081132 2.596226 
14 0.081072 2.594296 
15 0.081114 2.595643 
16 0.081106 2.595383 
17 0.081376 2.604039 
18 0.081265 2.600473 
19 0.081256 2.600207 
20 0.081367 2.603735 
21 0.081147 2.596690 
22 0.081106 2.595402 
23 0.081164 2.597263 
24 0.081132 2.596238 
25 0.081157 2.597034 
26 0.081229 2.599314 
27 0.081258 2.600269 
28 0.081229 2.599342 
29 0.081164 2.597247 
30 0.081130 2.596171 
31 0.081124 2.595958 
32 0.081274 2.600769 
33 0.081168 2.597371 
34 0.081042 2.593345 
35 0.081497 2.607902 
36 0.081074 2.594373 
37 0.081145 2.596638 
38 0.081310 2.601926 
39 0.081257 2.600233 
40 0.081262 2.600390 
41 0.081063 2.594008 
42 0.081156 2.596982 
43 0.081057 2.593831 
44 0.081057 2.593821 
45 0.081081 2.594583 
46 0.081067 2.594142 
47 0.081420 2.605432 
48 0.081420 2.605453 
49 0.081262 2.600382 
50 0.081072 2.594306 
51 0.081056 2.593803 
52 0.081070 2.594240 
53 0.081061 2.593942 
54 0.081205 2.598557 
55 0.081119 2.595820 
56 0.081208 2.598661 
57 0.081108 2.595447 
58 0.081039 2.593248 
59 0.081183 2.597855 
60 0.081049 2.593561 
