m_pi mpiL
0.11968(24) 5.745(11) 
0 0.119685 5.744873 
1 0.119656 5.743489 
2 0.119723 5.746685 
3 0.119679 5.744588 
4 0.119649 5.743151 
5 0.119697 5.745463 
6 0.119720 5.746564 
7 0.119636 5.742513 
8 0.119696 5.745423 
9 0.119683 5.744782 
10 0.119641 5.742779 
11 0.119731 5.747088 
12 0.119691 5.745158 
13 0.119665 5.743906 
14 0.119675 5.744391 
15 0.119663 5.743833 
16 0.119681 5.744711 
17 0.119689 5.745070 
18 0.119661 5.743715 
19 0.119686 5.744924 
20 0.119708 5.745974 
21 0.119697 5.745452 
22 0.119673 5.744307 
23 0.119680 5.744651 
24 0.119667 5.744006 
25 0.119669 5.744124 
26 0.119660 5.743678 
27 0.119705 5.745847 
28 0.119720 5.746582 
29 0.119690 5.745143 
30 0.119709 5.746050 
31 0.119701 5.745649 
32 0.119654 5.743404 
33 0.119690 5.745138 
34 0.119733 5.747192 
35 0.119695 5.745356 
36 0.119704 5.745770 
37 0.119650 5.743183 
38 0.119743 5.747687 
39 0.119697 5.745480 
40 0.119660 5.743693 
41 0.119695 5.745373 
42 0.119636 5.742552 
43 0.119669 5.744134 
44 0.119657 5.743533 
45 0.119622 5.741856 
46 0.119672 5.744238 
47 0.119701 5.745647 
48 0.119638 5.742626 
49 0.119630 5.742251 
50 0.119666 5.743989 
51 0.119710 5.746082 
52 0.119651 5.743255 
53 0.119652 5.743274 
54 0.119707 5.745943 
55 0.119728 5.746924 
56 0.119717 5.746432 
57 0.119688 5.745048 
58 0.119714 5.746288 
59 0.119756 5.748287 
60 0.119754 5.748172 
