E_0 E_1 E_2 
0.3170(24) 0.4641(60) 0.6066(72) 
0 0.316982 0.464149 0.606561 
1 0.316578 0.464560 0.606823 
2 0.316512 0.464232 0.606477 
3 0.316813 0.463369 0.606073 
4 0.316969 0.463624 0.604986 
5 0.317000 0.464846 0.606857 
6 0.317044 0.463979 0.606287 
7 0.316831 0.461790 0.607858 
8 0.316858 0.463375 0.606419 
9 0.316729 0.464507 0.605888 
10 0.317037 0.464957 0.606562 
11 0.317409 0.465833 0.604923 
12 0.316720 0.463200 0.604607 
13 0.317084 0.464470 0.606321 
14 0.316915 0.463554 0.607270 
15 0.316925 0.462195 0.606536 
16 0.316882 0.463823 0.606463 
17 0.316929 0.464051 0.607110 
18 0.317151 0.464392 0.606555 
19 0.316880 0.463873 0.606533 
20 0.316907 0.463938 0.606589 
21 0.317152 0.464179 0.604653 
22 0.316443 0.463195 0.606497 
23 0.316650 0.464050 0.607134 
24 0.316632 0.463781 0.607067 
25 0.316442 0.462680 0.604659 
26 0.317130 0.463949 0.606819 
27 0.317084 0.465178 0.605838 
28 0.317275 0.464531 0.607813 
29 0.317101 0.464354 0.607765 
30 0.316728 0.463851 0.605348 
31 0.317134 0.464256 0.606720 
32 0.316927 0.464120 0.605127 
33 0.317105 0.462384 0.605959 
34 0.316752 0.464727 0.606408 
35 0.317143 0.464662 0.605585 
36 0.316852 0.465044 0.606776 
37 0.316916 0.464297 0.605707 
38 0.317216 0.463611 0.607124 
39 0.317373 0.464602 0.607486 
40 0.316605 0.465304 0.606930 
41 0.316329 0.464003 0.604784 
42 0.317343 0.464106 0.606195 
43 0.316396 0.464683 0.606405 
44 0.317488 0.463131 0.607534 
45 0.317147 0.464072 0.607551 
46 0.317178 0.465420 0.607599 
47 0.317212 0.464883 0.608546 
48 0.316670 0.463576 0.604915 
49 0.317437 0.464086 0.607771 
50 0.317618 0.464539 0.608033 
51 0.317367 0.464447 0.605727 
52 0.316216 0.464858 0.606150 
53 0.317175 0.463758 0.606371 
54 0.317244 0.464822 0.607477 
55 0.317759 0.464814 0.606907 
56 0.317435 0.463596 0.607110 
57 0.316799 0.464525 0.607681 
58 0.316917 0.462771 0.607222 
59 0.317199 0.463991 0.607262 
60 0.316940 0.464753 0.607110 
