E_0 E_1 E_2 
0.2780(17) 0.3287(20) 0.4210(16) 
0 0.277974 0.328712 0.421011 
1 0.278095 0.328844 0.420779 
2 0.277923 0.328566 0.421136 
3 0.278173 0.328882 0.421262 
4 0.277957 0.328877 0.421106 
5 0.277687 0.328407 0.420755 
6 0.277687 0.328403 0.420959 
7 0.277759 0.328365 0.420967 
8 0.278063 0.328770 0.421567 
9 0.278029 0.328985 0.420695 
10 0.277644 0.328318 0.420741 
11 0.278133 0.328627 0.420806 
12 0.278106 0.328758 0.421169 
13 0.278170 0.328801 0.420864 
14 0.278058 0.328730 0.420750 
15 0.278093 0.328697 0.420834 
16 0.277853 0.328559 0.420702 
17 0.277989 0.328832 0.420928 
18 0.278452 0.329441 0.420819 
19 0.278418 0.329239 0.420817 
20 0.278450 0.329087 0.420917 
21 0.278527 0.329121 0.421213 
22 0.277829 0.328462 0.421071 
23 0.277866 0.328394 0.421056 
24 0.277842 0.328341 0.420978 
25 0.277743 0.328610 0.420763 
26 0.278007 0.329076 0.420986 
27 0.277770 0.328601 0.420987 
28 0.277975 0.328753 0.421016 
29 0.278307 0.328998 0.420838 
30 0.277961 0.328748 0.420671 
31 0.277704 0.328194 0.421128 
32 0.277299 0.328152 0.420867 
33 0.277840 0.328631 0.421313 
34 0.278154 0.329012 0.420899 
35 0.278125 0.329051 0.420909 
36 0.277976 0.328845 0.421022 
37 0.277824 0.328460 0.420853 
38 0.277854 0.328559 0.421084 
39 0.277552 0.328673 0.421490 
40 0.277950 0.328737 0.421187 
41 0.278048 0.328686 0.421212 
42 0.277897 0.328424 0.420988 
43 0.277815 0.328480 0.420924 
44 0.278062 0.328720 0.421050 
45 0.277755 0.328396 0.421067 
46 0.277749 0.328493 0.421047 
47 0.278056 0.328725 0.421012 
48 0.277887 0.328685 0.420854 
49 0.277854 0.328379 0.421213 
50 0.278009 0.328771 0.421146 
51 0.278083 0.328756 0.421248 
52 0.278153 0.328957 0.421156 
53 0.278320 0.328922 0.421189 
54 0.278037 0.328868 0.421252 
55 0.278190 0.329094 0.421313 
56 0.278064 0.328820 0.421310 
57 0.277853 0.328622 0.420480 
58 0.277877 0.328740 0.421081 
59 0.277774 0.328834 0.420940 
60 0.277873 0.328448 0.421257 
