E_0 E_1 E_2 
0.3004(59) 0.437(12) 0.5923(96) 
0 0.300441 0.436798 0.592339 
1 0.302725 0.433507 0.592609 
2 0.300455 0.435918 0.593986 
3 0.300998 0.434886 0.593947 
4 0.299755 0.435663 0.591215 
5 0.301873 0.437897 0.591066 
6 0.300723 0.435316 0.591366 
7 0.299811 0.435259 0.592523 
8 0.300297 0.436165 0.593978 
9 0.301150 0.434862 0.591856 
10 0.300550 0.436425 0.593266 
11 0.300158 0.434737 0.593323 
12 0.300924 0.438995 0.593652 
13 0.301235 0.438966 0.591744 
14 0.299766 0.436321 0.590605 
15 0.300038 0.436976 0.590697 
16 0.300630 0.435466 0.592603 
17 0.298337 0.435141 0.591321 
18 0.298149 0.435082 0.591599 
19 0.301680 0.437576 0.591880 
20 0.300531 0.437685 0.593976 
21 0.299233 0.435820 0.594749 
22 0.299798 0.436173 0.590945 
23 0.300566 0.435281 0.594931 
24 0.300177 0.436585 0.591381 
25 0.300162 0.435630 0.591887 
26 0.300040 0.438207 0.594174 
27 0.300293 0.437036 0.595065 
28 0.300401 0.438060 0.592605 
29 0.300046 0.434882 0.590608 
30 0.299046 0.438130 0.593784 
31 0.300151 0.436071 0.593313 
32 0.299885 0.438527 0.590761 
33 0.299674 0.437033 0.592340 
34 0.300917 0.436133 0.593707 
35 0.301130 0.442990 0.590943 
36 0.300272 0.436245 0.593445 
37 0.299858 0.437185 0.593023 
38 0.301769 0.435710 0.592826 
39 0.301095 0.437265 0.592490 
40 0.300491 0.438965 0.593083 
41 0.300153 0.436289 0.592434 
42 0.300036 0.437011 0.593164 
43 0.300901 0.437608 0.592812 
44 0.300329 0.435828 0.590305 
45 0.300431 0.436779 0.590395 
46 0.299937 0.438402 0.591013 
47 0.300534 0.437334 0.590162 
48 0.300165 0.437490 0.591521 
49 0.300870 0.441185 0.590092 
50 0.300436 0.436984 0.592343 
51 0.300796 0.435108 0.593383 
52 0.300537 0.434729 0.591224 
53 0.300067 0.435865 0.592178 
54 0.299995 0.437840 0.591647 
55 0.301823 0.435333 0.591613 
56 0.300887 0.435400 0.591839 
57 0.301245 0.438326 0.593172 
58 0.299675 0.437413 0.592817 
59 0.300543 0.437258 0.592561 
60 0.300693 0.437531 0.591403 
