E_0 E_1 E_2 
0.1721(25) 0.4675(40) 0.604(18) 
0 0.172129 0.467502 0.603771 
1 0.172535 0.467490 0.609074 
2 0.171893 0.467309 0.601130 
3 0.172409 0.466817 0.602125 
4 0.172018 0.467254 0.604825 
5 0.172157 0.467668 0.604650 
6 0.171689 0.467434 0.602459 
7 0.171970 0.467977 0.605623 
8 0.171910 0.467573 0.603249 
9 0.172185 0.467670 0.602610 
10 0.171600 0.466496 0.606407 
11 0.172235 0.467576 0.604980 
12 0.172213 0.468029 0.604155 
13 0.172096 0.467937 0.604114 
14 0.172030 0.467618 0.602202 
15 0.171849 0.467500 0.605243 
16 0.171959 0.467126 0.602165 
17 0.172176 0.467009 0.601318 
18 0.173363 0.467453 0.610919 
19 0.172470 0.467219 0.601523 
20 0.172437 0.467835 0.607233 
21 0.172329 0.467805 0.603271 
22 0.171912 0.467988 0.603846 
23 0.172032 0.466545 0.604356 
24 0.172027 0.467572 0.605206 
25 0.172362 0.467430 0.603424 
26 0.171974 0.467693 0.602942 
27 0.172095 0.467696 0.601873 
28 0.172234 0.467370 0.602080 
29 0.172153 0.467380 0.601914 
30 0.172131 0.467360 0.602442 
31 0.172264 0.467581 0.609084 
32 0.172471 0.467494 0.608941 
33 0.171999 0.467551 0.606992 
34 0.171923 0.468130 0.602641 
35 0.173320 0.465281 0.601960 
36 0.172159 0.467513 0.602906 
37 0.172009 0.467134 0.605844 
38 0.172459 0.467154 0.602533 
39 0.172318 0.468235 0.604207 
40 0.172476 0.467504 0.600751 
41 0.171953 0.467363 0.603540 
42 0.172135 0.468018 0.604665 
43 0.171960 0.467793 0.602345 
44 0.171819 0.467583 0.602743 
45 0.172076 0.467619 0.603097 
46 0.171921 0.466998 0.599542 
47 0.172068 0.467669 0.604833 
48 0.172857 0.467200 0.599539 
49 0.171567 0.468550 0.603926 
50 0.172125 0.467881 0.604883 
51 0.171552 0.467132 0.604656 
52 0.171718 0.467606 0.603567 
53 0.171914 0.467020 0.602326 
54 0.171965 0.468218 0.603071 
55 0.172235 0.466642 0.606135 
56 0.172121 0.468833 0.599624 
57 0.171887 0.467573 0.601638 
58 0.172050 0.467069 0.601797 
59 0.171924 0.467284 0.602553 
60 0.172053 0.467583 0.603662 
