E_0 E_1 E_2 E_3 
0.1563(12) 0.2672(71) 0.3652(66) 0.480(45) 
0 0.156299 0.267168 0.365225 0.479973 
1 0.156598 0.269689 0.367764 0.502732 
2 0.156436 0.269180 0.366881 0.483517 
3 0.156381 0.267981 0.365734 0.473693 
4 0.156457 0.267707 0.365360 0.479702 
5 0.156139 0.266930 0.365030 0.485017 
6 0.156017 0.266714 0.365123 0.485759 
7 0.156177 0.266031 0.364141 0.478592 
8 0.156413 0.266323 0.364336 0.479393 
9 0.156314 0.266631 0.364998 0.477913 
10 0.156088 0.266430 0.364333 0.478077 
11 0.155986 0.266561 0.364204 0.473451 
12 0.156174 0.266714 0.364614 0.482225 
13 0.156087 0.266586 0.364863 0.483185 
14 0.156102 0.266402 0.364867 0.481376 
15 0.156072 0.268990 0.367459 0.492345 
16 0.156414 0.267604 0.365794 0.484928 
17 0.156413 0.267316 0.365009 0.469624 
18 0.156432 0.269052 0.366926 0.491098 
19 0.156284 0.268425 0.366644 0.488352 
20 0.156617 0.268842 0.366229 0.480831 
21 0.156640 0.266989 0.364619 0.474056 
22 0.156319 0.267761 0.365758 0.477203 
23 0.156132 0.267251 0.365312 0.473404 
24 0.156128 0.266804 0.364956 0.478950 
25 0.156231 0.266490 0.364648 0.476928 
26 0.156149 0.267212 0.365625 0.487514 
27 0.156282 0.266555 0.364596 0.479610 
28 0.156191 0.266794 0.365046 0.483579 
29 0.156235 0.266397 0.364453 0.478606 
30 0.156128 0.266614 0.365041 0.478501 
31 0.156163 0.265699 0.364025 0.481888 
32 0.156271 0.266193 0.363998 0.480263 
33 0.156548 0.266574 0.364520 0.473468 
34 0.156362 0.267192 0.365623 0.479060 
35 0.156173 0.267658 0.365544 0.462283 
36 0.156207 0.266883 0.365518 0.482972 
37 0.156165 0.267102 0.365641 0.486442 
38 0.156199 0.266967 0.365169 0.478351 
39 0.156201 0.266767 0.365402 0.483629 
40 0.156226 0.267061 0.365408 0.480638 
41 0.156364 0.266667 0.364924 0.478286 
42 0.156301 0.266019 0.364311 0.479606 
43 0.156271 0.266676 0.364480 0.472926 
44 0.156245 0.266258 0.364401 0.478065 
45 0.156505 0.268753 0.366012 0.478889 
46 0.156608 0.269061 0.366204 0.478674 
47 0.156299 0.267463 0.365815 0.488194 
48 0.156328 0.266338 0.364266 0.476071 
49 0.156430 0.266822 0.364647 0.478403 
50 0.156245 0.267517 0.365553 0.479176 
51 0.156520 0.268258 0.365435 0.475974 
52 0.156412 0.268491 0.366086 0.481329 
53 0.156371 0.267301 0.365085 0.479652 
54 0.156354 0.267252 0.366004 0.484657 
55 0.156249 0.266476 0.365067 0.479183 
56 0.156250 0.266161 0.364298 0.484923 
57 0.156486 0.267165 0.365330 0.484778 
58 0.156340 0.266319 0.363632 0.473872 
59 0.156258 0.265877 0.363827 0.473286 
60 0.156368 0.266685 0.364502 0.481721 
